,names,dob,positon,month,year
0,Lucas Martínez ,"<td class=""zentriert"">05/11/1998 (23)</td>",<tr><td>Delantero</td></tr>,11,98
1,Anthony Faller ,"<td class=""zentriert"">29/04/1998 (24)</td>",<tr><td>Lateral izquierdo</td></tr>,04,98
2,Ismael Pereira ,"<td class=""zentriert"">06/03/1998 (24)</td>",<tr><td>Medio campo</td></tr>,03,98
3,Nicolás Marquéz ,"<td class=""zentriert"">13/06/1998 (24)</td>",<tr><td>Defensa central</td></tr>,06,98
4,Mateo Charamoni ,"<td class=""zentriert"">18/06/1998 (24)</td>",<tr><td>Defensa central</td></tr>,06,98
5,Damián Baladón ,"<td class=""zentriert"">20/07/1998 (24)</td>",<tr><td>Medio campo</td></tr>,07,98
6,Gastón Orradre ,"<td class=""zentriert"">06/02/1998 (24)</td>",<tr><td>Delantero</td></tr>,02,98
7,Gabriel Morales ,"<td class=""zentriert"">07/10/1998 (24)</td>",<tr><td>Medio campo</td></tr>,10,98
8,Mauricio Fratta ,"<td class=""zentriert"">24/03/1998 (24)</td>",<tr><td>Portero</td></tr>,03,98
9,Alan Ormazábal ,"<td class=""zentriert"">11/01/1998 (24)</td>",<tr><td>Defensa</td></tr>,01,98
10,Leandro Giffuni ,"<td class=""zentriert"">26/11/1998 (23)</td>",<tr><td>Delantero</td></tr>,11,98
11,Jeffrey Guzmán ,"<td class=""zentriert"">17/03/1998 (24)</td>",<tr><td>Medio campo</td></tr>,03,98
12,Jean Ortiz ,"<td class=""zentriert"">27/04/1998 (24)</td>",<tr><td>Delantero</td></tr>,04,98
13,Federico Larrosa ,"<td class=""zentriert"">29/06/1998 (24)</td>",<tr><td>Defensa</td></tr>,06,98
14,Federico Viera ,"<td class=""zentriert"">28/02/1998 (24)</td>",<tr><td>Delantero</td></tr>,02,98
15,Joaquín Arretche ,"<td class=""zentriert"">30/06/1998 (24)</td>",<tr><td>Pivote</td></tr>,06,98
16,Fernando Olivera ,"<td class=""zentriert"">30/04/1998 (24)</td>",<tr><td>Medio campo</td></tr>,04,98
17,Camilo Irsanskas ,"<td class=""zentriert"">13/09/1998 (24)</td>",<tr><td>Portero</td></tr>,09,98
18,Gastón Roqueta ,"<td class=""zentriert"">13/06/1998 (24)</td>",<tr><td>Interior derecho</td></tr>,06,98
19,Alexander Mafio ,"<td class=""zentriert"">25/02/1998 (24)</td>",<tr><td>Medio campo</td></tr>,02,98
20,Gastón Gorrostorrazo ,"<td class=""zentriert"">22/05/1998 (24)</td>",<tr><td>Pivote</td></tr>,05,98
21,Mauro Cosentino ,"<td class=""zentriert"">18/03/1998 (24)</td>",<tr><td>Medio campo</td></tr>,03,98
22,Lucas Michelena ,"<td class=""zentriert"">29/11/1998 (23)</td>",<tr><td>Portero</td></tr>,11,98
23,Nicolás Lladó ,"<td class=""zentriert"">03/02/1998 (24)</td>",<tr><td>Portero</td></tr>,02,98
24,Lucas Cappi ,"<td class=""zentriert"">20/07/1998 (24)</td>",<tr><td>Medio campo</td></tr>,07,98
0,Agustín Orellano ,"<td class=""zentriert"">13/10/1998 (24)</td>",<tr><td>Medio campo</td></tr>,10,98
1,Lucas Pazos ,"<td class=""zentriert"">19/07/1998 (24)</td>",<tr><td>Delantero</td></tr>,07,98
